customer_id,first_name,last_name,birth_year,email,phone,experience_level,preferred_region,previous_summits,membership_status,signup_date
6650c90c-1494-45a7-8ffe-20429775811a,Eric,Thomas,95,eric.thomas@example.com,485-573-7376,Expert,Appalachians,0,Member,2022-11-27
61072eb0-18ff-49ec-b745-e35a7214bf30,Andrea,Hawkins,73,ahawkins@example.com,889.798.9001x23444,Intermediate,Rockies,7,Non-Member,2023-10-26
f997f413-c4d8-4019-9cd0-cb2195e0051e,Robert,Gutierrez,79,robert79@example.com,(481)237-1638x1315,Beginner,Andes,19,Non-Member,2022-03-12
3b7c3750-1094-4847-a0dc-a7380bbd9bd3,William,Irwin,04,william04@example.com,(766)331-3936,Beginner,Alps,5,Member,2024-03-28
cf36024d-5940-43e1-b454-a189ae5b27d5,Michael,Edwards,21,michael21@example.com,001-405-391-9100,Intermediate,Alps,1,Member,2022-08-14
fef7c2dc-fe3e-4cf1-9ab5-7884e464bf69,Alexis,Norton,84,anorton@example.com,800-580-7668x581,Expert,Appalachians,19,Member,2023-06-28
5e637473-9ef4-4ebf-99f7-ad9e182e1a1b,Matthew,Hill,23,matthew@example.com,903.841.4955x3929,Beginner,Alps,2,Non-Member,2023-05-04
4a803ed2-b16f-4e0f-b018-2e83174ff1d3,Anne,Mccoy,80,anne80@example.com,001-294-893-7307x3820,Intermediate,Appalachians,6,Member,2022-11-12
ff3fac50-3d6a-4180-a46a-6267475d504e,Jonathan,Gregory,01,jonathan01@example.com,983-476-9948,Expert,Rockies,2,Member,2022-03-07
20491938-3012-45b2-b239-950fe7c862f7,Dawn,Pierce,08,dawn08@example.com,001-250-879-3433x848,Intermediate,Cascades,15,Non-Member,2024-02-19
1799119f-15f6-45fe-8456-17c49cf54a45,Richard,Jones,70,rjones@example.com,(589)874-1755,Expert,Alps,18,Non-Member,2021-02-09
3e6a1a3c-4a78-4bb6-8d0d-944b218e673e,Kathy,Bishop,94,kathy94@example.com,708-323-2071,Expert,Rockies,13,Non-Member,2024-04-30
f7540a81-cb65-40c7-ab7c-9654841fa45f,Ann,Lopez,75,ann.lopez@example.com,232.837.0343,Expert,Rockies,14,Member,2021-06-14
0a5dedec-185c-4d2f-bd20-f0400aa5625f,Jennifer,Bell,21,jbell@example.com,660.765.9259,Beginner,Rockies,5,Non-Member,2022-08-17
17fd22a3-73c2-40d0-84dc-887e9c841c3a,Stephanie,Thomas,02,stephanie.thomas@example.com,+1-432-521-6019,Beginner,Rockies,19,Member,2020-06-01
a15d7f88-33d8-4ab3-895d-0a2a9ff7c9f4,Donald,Fernandez,00,donald@example.com,3016231350,Beginner,Cascades,4,Non-Member,2020-01-18
6d0a6d13-8e44-4efa-90dd-0d58db6b2013,Betty,Bell,92,betty92@example.com,348-665-3435,Expert,Rockies,3,Non-Member,2024-05-25
00f43a38-3e4f-48c0-a70c-d400ae56ac7a,Theresa,Ortiz,92,theresa@example.com,+1-422-416-9949x84164,Expert,Himalayas,10,Non-Member,2022-05-07
60263755-b8a0-48d9-9e47-79eeb86b6828,Shawn,Smith,90,ssmith@example.com,(381)851-7907x6551,Intermediate,Himalayas,17,Non-Member,2020-11-02
a19b6015-05a5-4446-a26d-04e16fbbde2d,Chase,Smith,17,chase.smith@example.com,+1-877-865-5525x72077,Expert,Cascades,20,Non-Member,2021-11-15
bb07a582-9423-40a6-ac86-f4b30b1d6d0a,Judy,Benton,93,judy.benton@example.com,808.519.2020,Intermediate,Cascades,7,Member,2023-03-31
18e7cf84-9ad6-4343-bb6c-ce75b69ee6f1,Hannah,Ewing,73,hewing@example.com,(412)665-8243x6248,Beginner,Appalachians,15,Member,2023-12-25
8db34220-ea7e-4db6-8100-a228c6a968c9,Gloria,Snyder,78,gsnyder@example.com,001-515-372-7783,Beginner,Alps,10,Member,2023-10-04
7b01bf73-2113-418c-8ed1-6a3acab15c22,Cheryl,Willis,04,cheryl@example.com,343-647-6628,Expert,Andes,4,Non-Member,2021-04-30
0d857729-153c-4d33-a349-cbda58ef9604,Jasmine,Jones,14,jasmine.jones@example.com,7233762114,Expert,Himalayas,13,Non-Member,2021-09-18
68cb4e66-c0a4-4153-9a67-84baff672fd2,Kim,Evans,11,kim.evans@example.com,(624)540-5915,Intermediate,Appalachians,20,Member,2020-01-07
d7d15df1-1fac-46dd-b27d-4f651e72d472,Robin,Brown,89,robin@example.com,505.949.0271x897,Intermediate,Alps,5,Non-Member,2022-07-18
a5c84d99-01de-4a84-b9ab-31ad377180ba,James,Moore,81,jmoore@example.com,532-584-1873x53764,Expert,Himalayas,11,Non-Member,2024-04-13
ea9af07c-f767-4eb5-8a49-f3c9d8f4ca1d,Timothy,Fuller,02,timothy@example.com,001-711-942-8478,Beginner,Appalachians,20,Non-Member,2024-01-31
a290c7bf-b723-4dc8-8b1c-aec2914558a3,Kathryn,Yang,03,kyang@example.com,+1-743-594-6749x791,Intermediate,Appalachians,8,Non-Member,2021-01-15
8f7f933f-0065-4161-8e3e-0a50639811c4,Kyle,Braun,79,kbraun@example.com,+1-689-879-0945x0137,Expert,Appalachians,12,Non-Member,2020-11-14
94039946-15a2-427d-b950-fc3b210769cc,Dylan,Warner,71,dylan@example.com,977.549.4201x7818,Expert,Andes,18,Non-Member,2021-10-13
551440c1-b465-4d94-9101-9334534ce086,Sarah,Schultz,10,sarah10@example.com,773-286-8059x99127,Intermediate,Cascades,14,Member,2021-01-10
cebc871e-289e-4aba-8ec8-555be4fc22e3,Lindsey,Carroll,88,lindsey@example.com,(603)370-4679x3287,Intermediate,Rockies,17,Non-Member,2020-07-09
a594faf1-230a-4402-a709-dba9d8d916bb,Gregory,Ryan,10,gryan@example.com,395-529-5184,Expert,Rockies,10,Member,2021-05-14
ed978f3f-b827-43d0-8bca-9ce7b56646e7,Richard,Collins,79,rcollins@example.com,(465)925-7991,Beginner,Appalachians,5,Non-Member,2023-04-10
be2a4f4e-b3de-499c-9570-43b7e73bc8cd,Anthony,Daniels,06,anthony.daniels@example.com,(379)784-0697x41326,Expert,Cascades,12,Non-Member,2020-04-24
04847c14-26da-4371-a0f6-ef8912ea0c65,Alejandro,Mullins,74,amullins@example.com,652-462-9449,Beginner,Himalayas,11,Non-Member,2024-06-24
985a10f4-5793-4819-99dc-b35dbce0bd54,Nicole,Briggs,13,nicole@example.com,946-942-7387x277,Expert,Himalayas,14,Member,2024-10-02
b33d6729-968c-420f-b5c2-530cda72e608,Randall,Bennett,90,randall@example.com,+1-976-201-0208x2146,Beginner,Cascades,3,Non-Member,2022-08-03
9f26515c-5b86-4c9c-b5db-a171e1531e27,Jennifer,Johnson,79,jjohnson@example.com,(333)458-8366,Intermediate,Alps,18,Non-Member,2024-05-16
3252ac96-0a89-4261-b99c-8750130e228b,Katie,Neal,14,katie14@example.com,(279)352-1861x73557,Expert,Andes,15,Member,2022-11-17
920ea5fc-a049-4b2a-9fe7-de499c2414da,Brian,Brown,04,brian04@example.com,+1-289-279-4420x0335,Expert,Appalachians,3,Non-Member,2024-06-10
df95cef3-6856-4bb6-b8ed-ccf651db7210,Rachel,Patel,77,rpatel@example.com,229-727-8938x9295,Beginner,Appalachians,14,Member,2022-09-11
786fefac-3e6e-4716-90e0-f0c8472cdd71,Patricia,Kaufman,71,patricia.kaufman@example.com,317-235-0732x515,Intermediate,Andes,20,Non-Member,2022-10-30
821f2aec-5aec-41cb-a2eb-218c99a1a832,Jeffrey,Wheeler,20,jeffrey20@example.com,351.543.8704x889,Beginner,Alps,14,Member,2022-07-19
fcc9d27f-b541-4ab0-8b96-21596e86b86e,Gabriel,Bowers,18,gbowers@example.com,(923)528-5613,Intermediate,Andes,15,Member,2021-09-08
1a7fdf59-0bb7-47fb-a219-658f9d130c8b,Donald,Howell,76,donald.howell@example.com,(222)709-8470x5171,Beginner,Appalachians,18,Non-Member,2022-05-13
54650536-ff56-4863-a752-4d2b55a14f9f,Suzanne,Miles,24,suzanne.miles@example.com,(747)722-0330x10220,Intermediate,Himalayas,11,Non-Member,2022-08-16
4d6e2480-3140-41b7-96bc-5df3373dcb24,Jessica,Turner,04,jturner@example.com,(863)698-0635,Beginner,Rockies,13,Non-Member,2020-03-21
9f2043e6-effe-47f6-98e9-94a96d1b28aa,Kevin,Jones,20,kjones@example.com,608.461.5217x288,Intermediate,Rockies,16,Member,2024-07-19
c58c5784-0c47-44c8-81c6-873898d0d2e6,Joseph,Smith,08,joseph@example.com,001-210-846-1919,Expert,Andes,5,Non-Member,2020-07-06
8e4d4262-3a64-4aeb-b7a4-32fff2b64041,Terri,Harper,14,terri14@example.com,460-650-4323,Expert,Andes,4,Member,2023-02-11
6e4f5ac7-8b3f-46d4-abdb-84523d89fa9c,Mark,Dennis,97,mark.dennis@example.com,+1-320-505-8092,Beginner,Himalayas,2,Non-Member,2022-11-13
30dfa045-0b2e-4fbc-90c9-dabf9d192ab6,Lisa,Walls,12,lisa.walls@example.com,001-904-734-8340x6196,Beginner,Appalachians,1,Non-Member,2023-07-15
0e1c5fef-ab56-4dbd-8ebf-24fe9babe8be,Rebecca,Rivera,00,rebecca@example.com,+1-924-580-4383x335,Intermediate,Rockies,3,Non-Member,2022-02-09
f01241c0-7a52-451a-85fc-0efe13ccbc2c,Corey,Braun,74,corey74@example.com,(422)460-7126,Beginner,Appalachians,12,Non-Member,2020-06-20
79b3a218-e6d1-40b8-96cc-4a1feeb37189,Jesus,Johnson,71,jesus@example.com,700-567-6124,Intermediate,Rockies,15,Member,2022-08-25
87d4529c-e6fa-42fb-9908-f10511f0f4e4,Beth,Porter,15,beth.porter@example.com,685.889.8473x769,Beginner,Cascades,19,Member,2020-11-01
02566042-60db-4f27-a078-8a3f969d0005,John,Lewis,22,john22@example.com,+1-461-809-7785x57747,Beginner,Rockies,14,Non-Member,2023-08-05
f3088589-8eb6-4c8e-802a-87b0d6c2f166,Jesus,Jones,03,jesus@example.com,969.505.6250,Intermediate,Cascades,13,Non-Member,2024-02-19
12dee830-7bbb-4249-ad5a-ec75b5c7d224,Shirley,Carney,99,shirley@example.com,(252)262-5205x915,Intermediate,Appalachians,17,Non-Member,2024-05-01
5401ae74-589b-4688-bb87-4327826049a2,Kevin,Wilson,99,kevin.wilson@example.com,(629)726-7267x80707,Expert,Appalachians,19,Non-Member,2022-01-31
2b056e6d-b32f-484f-916f-1c18b57d7b7a,Kristy,Williamson,93,kristy@example.com,821.746.1238x56660,Expert,Rockies,14,Non-Member,2023-12-07
d45b4db0-29aa-40c7-96ea-29ee8404b132,Erin,Woods,08,erin@example.com,980-820-8858x639,Intermediate,Himalayas,10,Non-Member,2021-10-23
0dcc8661-5341-4527-b64b-5a80c2d9a075,Christian,Holden,94,christian@example.com,(664)765-4075,Intermediate,Andes,11,Non-Member,2021-07-16
fb6c8af7-06e7-4251-a374-747c4f6b9254,James,Lewis,14,james14@example.com,586-602-4070x8677,Expert,Cascades,3,Non-Member,2021-08-04
67b47bfd-2cd2-42cc-95fc-0a829563c87d,Ronald,Johnson,72,ronald72@example.com,977.314.2465x83990,Beginner,Appalachians,11,Member,2022-01-26
32afadcf-d6f8-4e0a-b93a-381dc3b9cb94,Nathan,Erickson,24,nerickson@example.com,647-359-3044,Beginner,Alps,3,Non-Member,2022-09-02
45079a59-d4e5-48f0-a05b-b47095fabb43,Jerry,Watkins,80,jerry80@example.com,5238084483,Expert,Alps,0,Non-Member,2021-02-28
5982846c-d970-469b-9de8-0588cd53c62e,Elizabeth,Guzman,02,elizabeth.guzman@example.com,992.568.0765x5893,Expert,Cascades,1,Member,2021-09-01
8c6f25ea-b9f8-4b6a-aac2-3f2ef7dd7fcb,Robert,Gonzales,19,robert19@example.com,492.801.2041,Beginner,Alps,8,Member,2024-01-05
588022b2-c897-46c2-b87d-af27c6455478,Crystal,Walls,07,crystal07@example.com,932.308.7886x30995,Beginner,Himalayas,1,Non-Member,2023-10-21
8239837a-9eab-4175-8e90-92d5b5cc3a0e,Jessica,Miranda,16,jessica16@example.com,(922)301-0453x38341,Beginner,Rockies,15,Non-Member,2023-04-28
e8172673-4e61-4f4a-a485-bbaa03971c21,Samantha,Henry,94,shenry@example.com,474.601.2808x42089,Expert,Himalayas,7,Member,2021-04-06
0ac329a4-9be5-4eb1-bb69-4ee31c9b075b,Julie,Petersen,89,julie@example.com,543.591.4409x7101,Intermediate,Andes,19,Non-Member,2021-06-30
